Record No,Order Priority,Sales,Discount,Ship Method,Customer Name,Region,Market Segment,Product Category 1,Product Category 2,Product Category 3,Product Category 4,Ship Container,Order ID,Ordered On,Delivered On,Product Inventory
7081,2-HIGH,$227.60,0%,REGULAR AIR,Roy Skaria,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BINDER ACCESSORIES,Cardinal® Hold-It CD Pocket,SMALL BOX,13561,12/27/2011,12/30/2011,IN STOCK
7082,3-MEDIUM,$99.81,12%,REGULAR AIR,Thomas Boland,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 478,SMALL BOX,13562,12/27/2011,12/30/2011,IN STOCK
7083,3-MEDIUM,$51.62,10%,REGULAR AIR,Thomas Boland,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1937,SMALL BOX,13562,12/27/2011,12/30/2011,OUT OF STOCK
7084,3-MEDIUM,$32.98,2%,REGULAR AIR,Thomas Boland,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 223,SMALL BOX,13562,12/27/2011,12/30/2011,OUT OF STOCK
7085,5-LOW,$83.75,9%,REGULAR AIR,Jesus Ocampo,CENTRAL,CONSUMER                 ,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Staples Gold Paper Clips,WRAP BAG,13563,12/27/2011,12/30/2011,IN STOCK
7086,1-URGENT,$13.02,7%,REGULAR AIR,Heather Jas-Hannaway,WEST,CORPORATE                ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,POLY BINDERS,ACCOHIDE® Binder by Acco,SMALL BOX,13564,12/27/2011,12/30/2011,OUT OF STOCK
7087,1-URGENT,$283.09,1%,REGULAR AIR,Heather Jas-Hannaway,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1921,SMALL BOX,13564,12/27/2011,12/30/2011,OUT OF STOCK
7088,4-NOT SPECIFIED,"$7,400.85",5%,REGULAR AIR,Lynn Smith-Reed,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 5125,SMALL BOX,13565,12/27/2011,12/30/2011,IN STOCK
7089,4-NOT SPECIFIED,"$5,084.18",12%,REGULAR AIR,Lynn Smith-Reed,EAST,HOME OFFICE              ,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,SAFCO Folding Chair Trolley,MEDIUM BOX,13565,12/27/2011,12/30/2011,OUT OF STOCK
7090,4-NOT SPECIFIED,$277.00,2%,REGULAR AIR,Lynn Smith-Reed,EAST,HOME OFFICE              ,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,TDK 4.7GB DVD+RW,SMALL PACK,13565,12/27/2011,12/30/2011,OUT OF STOCK
7075,5-LOW,"$13,765.64",1%,REGULAR AIR,Noel Staavos,CENTRAL,SMALL BUSINESS           ,TECHNOLOGY,COPIERS AND FAX,COPIERS,Canon PC940 Copier,LARGE BOX,13557,12/26/2011,12/29/2011,IN STOCK
7076,2-HIGH,$95.71,4%,REGULAR AIR,Thomas Seio,EAST,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 479,SMALL BOX,13558,12/26/2011,12/29/2011,IN STOCK
7077,2-HIGH,"$5,839.68",8%,EXPRESS AIR,Jasper Cacioppo,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 6360,SMALL BOX,13559,12/26/2011,12/28/2011,IN STOCK
7078,2-HIGH,$382.78,7%,REGULAR AIR,Jasper Cacioppo,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory39,SMALL PACK,13559,12/26/2011,12/29/2011,IN STOCK
7079,2-HIGH,$29.29,4%,REGULAR AIR,Patrick O'Brill,WEST,CORPORATE                ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 512,SMALL BOX,13560,12/26/2011,12/28/2011,IN STOCK
7080,2-HIGH,$249.58,2%,REGULAR AIR,Patrick O'Brill,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1958,SMALL BOX,13560,12/26/2011,12/28/2011,IN STOCK
7068,1-URGENT,$246.33,3%,REGULAR AIR,Debra Catini-Entman,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 227,SMALL BOX,13552,12/25/2011,12/28/2011,IN STOCK
